key,de-DE,en-US,it-IT,es-ES
custom.data.type.cerlthesaurus.edit.no_cerlthesaurus,Keine CERL-Thesaurus-Verknüpfung gesetzt,No valid CERL-Thesaurus-node,,
custom.data.type.cerlthesaurus.edit.no_valid_cerlthesaurus,Keine valide CERL-Thesaurus-Verknüpfung,No valid CERL-Thesaurus-node,,
custom.data.type.cerlthesaurus.config.parameter.mask.allow_placename.value.label,Placename,Placename,,
custom.data.type.cerlthesaurus.config.parameter.mask.allow_imprintname.value.label,Imprintname,Imprintname,,
custom.data.type.cerlthesaurus.config.parameter.mask.allow_personalname.value.label,Personalname,Personalname,,
custom.data.type.cerlthesaurus.config.parameter.mask.allow_corporatename.value.label,Corporatename,Corporatename,,
custom.data.type.cerlthesaurus.config.parameter.mask.allow_placename.value.checkbox,Erlauben,Allow,,
custom.data.type.cerlthesaurus.config.parameter.mask.allow_imprintname.value.checkbox,Erlauben,Allow,,
custom.data.type.cerlthesaurus.config.parameter.mask.allow_personalname.value.checkbox,Erlauben,Allow,,
custom.data.type.cerlthesaurus.config.parameter.mask.allow_corporatename.value.checkbox,Erlauben,Allow,,
custom.data.type.cerlthesaurus.modal.form.text.count,Anzahl Vorschläge,Count suggestions,,
custom.data.type.cerlthesaurus.modal.form.text.count_short,Vorschläge,suggestions,,
custom.data.type.cerlthesaurus.modal.form.text.label,Text,Text,,
custom.data.type.cerlthesaurus.modal.form.text.searchbar,Suchbegriff eingeben,Enter search query,,
custom.data.type.cerlthesaurus.modal.form.text.searchbar.placeholder,Suchbegriff eingeben ...,Enter search query...,,
custom.data.type.cerlthesaurus.modal.form.text.type,Suche auf Typ einschränken,Narrow down search to type,,
custom.data.type.cerlthesaurus.name,CERL-Thesaurus-Verknüpfung,CERL-Thesaurus-node,,
custom.data.type.cerlthesaurus.url.tooltip,zu **%(name)s** bei CERL-Thesaurus Vocabularies springen,jump to **%(name)s** at CERL-Thesaurus Vocabularies,,
custom.data.type.cerlthesaurus.config.parameter.mask.infopop.info.label,Weitere Informationen,More information,,
custom.data.type.cerlthesaurus.config.parameter.mask.infopop.displayName.label,Name,Name,,
custom.data.type.cerlthesaurus.config.parameter.mask.infopop.cerlID.label,CERL-ID,CERL-ID,,
custom.data.type.cerlthesaurus.config.parameter.mask.infopop.geoNote.label,Geografie,Geography,,
custom.data.type.cerlthesaurus.config.parameter.mask.infopop.bioData.label,Biografische Daten,Biographical data,,
custom.data.type.cerlthesaurus.config.parameter.mask.infopop.variantForms.label,Andere Namensformen,Variant names,,
server.config.name.system.update_cerlthesaurus,LoC-Update-Einstellungen,LoC-Update-Configuration,,
server.config.parameter.system.update_cerlthesaurus.restrict_time.label,Beschränke Updates auf bestimmte Stunden?,Restrict updates to specific hours?,,
server.config.parameter.system.update_cerlthesaurus.restrict_time.checkbox,Ja - beschränken,Yes - restrict,,
server.config.parameter.system.update_cerlthesaurus.from_time.label,Stunde von (Zahl 0-24),Hour from (Int 0-24),,
server.config.parameter.system.update_cerlthesaurus.to_time.label,Stunde bis (Zahl 0-24),Hour to (Int 0-24),,
server.config.parameter.system.update_cerlthesaurus.custom_expires_days.label,Datengültigkeit (in Tagen),Data expires in (in days),,
